Hotel Name,Price,Star,Rating
Merrion Row Hotel and Public House,"₹ 142,072",4,8.8
Doubletree By Hilton New York Times Square West,"₹ 102,815",4,7.0
Hotel Moca NYC,"₹ 34,785",3,4.9
HI New York City Hostel,"₹ 32,917",3,8.3
"Club Quarters Hotel Grand Central, New York","₹ 94,476",4,8.1
Leon Hotel LES,"₹ 65,827",3,8.0
Hotel Edison Times Square,"₹ 93,052",4,7.4
Aura Hotel Times Square Newly Renovated,"₹ 79,332",4,7.9
"The New Yorker, A Wyndham Hotel","₹ 85,266",4,7.7
Pod Times Square,"₹ 72,141",3,8.1
Millennium Hotel Broadway Times Square,"₹ 100,385",4,7.4
Royalton New York,"₹ 119,209",4,7.7
DoubleTree by Hilton New York Midtown Fifth Ave,"₹ 119,001",4,7.6
Renaissance New York Harlem Hotel,"₹ 90,208",3,8.1
"Mayfair Hotel, Ascend Hotel Collection","₹ 69,352",3,8.6
The Belvedere Hotel,"₹ 86,607",3,8.0
Park Central,"₹ 97,633",4,7.3
Hotel 309,"₹ 46,360",2,6.1
The FIDI Hotel,"₹ 92,340",4,8.2
U.S. Pacific Hotel,"₹ 32,415",1,5.7
Pod 51,"₹ 72,141",3,7.8
"U Hotel Fifth Avenue, Empire State Building","₹ 83,125",3,7.9
Fairfield Inn by Marriott New York Manhattan/Financial District,"₹ 87,360",3,7.5
"Hotel Shocard Broadway, Times Square","₹ 81,187",3,7.2
Hampton Inn by Hilton New York Times Square,"₹ 108,635",3,7.7
Nap York Central Park Sleep Station,"₹ 33,922",1,8.2
Hilton Club The Quin New York,"₹ 122,804",3,8.6
"33 Hotel, New York City, Seaport","₹ 119,837",5,8.7
Hampton Inn Times Square Central,"₹ 109,729",3,8.3
Hilton New York Times Square,"₹ 130,831",4,7.4
DoubleTree by Hilton New York Downtown,"₹ 95,081",4,7.4
Hyatt Place New York City/Times Square,"₹ 121,535",4,7.6
WestHouse Hotel New York,"₹ 133,440",5,8.1
Ink 48 Hotel,"₹ 81,908",4,7.9
Home2 Suites By Hilton New York Times Square,"₹ 101,268",3,7.7
"The Manhattan at Times Square, an IHG Hotel","₹ 76,514",4,5.6
Radio Hotel,"₹ 62,802",4,8.0
SoHo 54,"₹ 92,721",3,7.3
Hotel Belleclaire Central Park,"₹ 118,854",4,8.1
Hotel Hayden New York,"₹ 91,268",4,7.1
"The Beekman Tower, Trademark Collection by Wyndham","₹ 127,816",4,8.2
Hotel Richland LES,"₹ 73,114",3,8.1
Pod 39,"₹ 79,680",3,8.2
HGU New York,"₹ 117,116",4,7.6
The St. Regis New York,"₹ 345,605",5,8.6
Citadines Connect Fifth Avenue New York,"₹ 109,854",3,7.5
World Center Hotel,"₹ 111,985",4,8.2
Hilton Garden Inn New York Central Park South-Midtown West,"₹ 104,548",3,7.3
Executive Hotel Le Soleil New York,"₹ 115,139",4,8.5
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,"₹ 124,968",4,8.1
Hotel Lucerne,"₹ 116,617",4,8.5
Hyatt Grand Central New York,"₹ 99,317",4,7.3
Warwick New York,"₹ 151,603",4,8.1
Courtyard New York Downtown Manhattan/Financial District,"₹ 105,452",3,7.5
Hilton Garden Inn New York/Midtown Park Avenue,"₹ 129,692",3,8.0
The Peninsula New York,"₹ 363,094",5,8.8
"Staypineapple, An Artful Hotel, Midtown New York","₹ 103,760",4,8.7
Carnegie Hotel,"₹ 127,925",4,8.6
Hotel Boutique at Grand Central,"₹ 94,476",4,7.8
Hyatt Place New York Chelsea,"₹ 120,361",4,7.9
KAMA CENTRAL PARK,"₹ 23,871",1,7.7
The Allen Hotel,"₹ 78,144",4,7.8
MOXY NYC Times Square,"₹ 127,062",4,8.1
"Holiday Inn Wall Street, an IHG Hotel","₹ 84,342",3,7.1
Tempo By Hilton New York Times Square,"₹ 136,357",4,8.5
"Le Meridien New York, Central Park by Marriott","₹ 183,180",5,6.9
Sheraton New York Times Square Hotel,"₹ 103,023",4,6.8
New York Marriott Marquis,"₹ 124,884",5,8.3
Virgin Hotels New York City,"₹ 144,484",4,8.3
"The Chatwal, The Unbound Collection by Hyatt","₹ 270,248",5,8.3
The Times Square EDITION New York,"₹ 138,474",5,8.5
JG Sohotel,"₹ 82,921",3,7.2
New York Hilton Midtown,"₹ 110,290",3,7.4
SpringHill Suites by Marriott New York Manhattan Chelsea,"₹ 144,808",4,8.2
Walker Hotel Greenwich Village,"₹ 136,778",4,8.2
45 Times Square Hotel,"₹ 102,186",3,8.3
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"₹ 156,223",4,8.2
M Social Hotel Times Square New York,"₹ 102,242",4,8.4
CIVILIAN Hotel,"₹ 136,275",4,8.6
LUMA Hotel - Times Square,"₹ 156,629",4,9.0
Four Points by Sheraton Midtown - Times Square,"₹ 127,062",4,8.1
citizenM New York Bowery,"₹ 109,284",4,8.7
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,"₹ 130,831",3,8.1
Hyatt Centric Times Square New York,"₹ 106,541",4,8.3
Ace Hotel New York,"₹ 143,001",4,7.8
"The Lexington Hotel, Autograph Collection","₹ 150,514",4,7.9
Nolitan Hotel SoHo - New York,"₹ 136,566",4,7.9
Motto By Hilton New York City Times Square,"₹ 99,260",3,8.1
"Holiday Inn Express - Wall Street, an IHG Hotel","₹ 87,187",3,7.1
Soho Grand Hotel,"₹ 180,668",4,8.3
NH Collection New York Madison Avenue,"₹ 142,396",4,8.3
Hotel on Rivington,"₹ 104,330",4,7.0
The Muse New York,"₹ 134,063",4,8.4
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,"₹ 119,607",3,7.5
"Club Quarters Hotel Times Square, New York","₹ 92,218",4,7.8
TRYP by Wyndham New York City Times Square - Midtown,"₹ 88,780",4,7.3
"The Jewel Hotel, New York","₹ 100,762",4,8.6
Arthouse Hotel,"₹ 90,201",4,7.9
Graduate by Hilton New York,"₹ 88,136",4,8.7
Empire Hotel,"₹ 90,204",4,6.8
"The Time New York, part of JdV by Hyatt","₹ 126,266",4,7.5
Homewood Suites Midtown Manhattan Times Square South,"₹ 149,146",3,8.3
Embassy Suites By Hilton New York Manhattan Times Square,"₹ 111,823",4,7.8
Margaritaville Resort Times Square,"₹ 131,694",4,8.7
"Crowne Plaza Times Square Manhattan, an IHG Hotel","₹ 110,729",4,7.7
Pestana CR7 Times Square,"₹ 95,887",4,8.3
Walker Hotel Tribeca,"₹ 121,366",4,8.0
Marriott Renaissance New York Times Square Hotel,"₹ 150,933",4,8.4
Sohotel,"₹ 105,492",4,7.8
70 Park Avenue Hotel,"₹ 133,763",4,8.3
The Renwick,"₹ 125,483",4,8.3
The Pearl Hotel,"₹ 138,788",4,8.6
The Hotel at Fifth Avenue,"₹ 113,602",3,7.5
Arlo SoHo,"₹ 160,565",4,8.0
Hotel AKA NoMad,"₹ 140,296",4,8.4
Bowery Grand Hotel,"₹ 14,247",1,3.4
UNTITLED at 3 Freeman Alley,"₹ 108,661",4,8.5
Shoreham Hotel,"₹ 67,756",4,7.3
Hotel 57 by LuxUrban,"₹ 87,176",4,7.3
SpringHill Suites by Marriott New York Manhattan/Times Square South,"₹ 173,092",4,8.1
Fairfield Inn & Suites New York Manhattan/Downtown East,"₹ 92,651",3,8.0
Hampton Inn Manhattan-35th St Empire State Bldg,"₹ 112,274",3,8.2
The Flat NYC,"₹ 75,004",3,8.0
ModernHaus SoHo,"₹ 172,410",5,8.4
Hilton Garden Inn New York Times Square North,"₹ 114,585",3,7.7
Park Lane New York,"₹ 171,842",5,8.1
Aloft Harlem,"₹ 79,571",4,7.6
Ameritania at Times Square,"₹ 98,588",4,7.9
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel","₹ 88,587",4,7.0
Courtyard by Marriott New York Manhattan/Chelsea,"₹ 149,258",4,8.3
Renaissance New York Chelsea Hotel,"₹ 193,399",4,8.0
Aloft Manhattan Downtown - Financial District,"₹ 112,875",4,7.4
The Frederick Hotel Tribeca,"₹ 148,014",5,8.0
Hampton Inn Manhattan Grand Central,"₹ 99,424",3,7.9
Wingate by Wyndham New York Midtown South/5th Ave,"₹ 101,396",3,8.1
Hotel Barrière Fouquet's New York,"₹ 276,404",5,9.3
Dylan Hotel NYC,"₹ 149,261",4,7.9
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","₹ 99,463",3,8.7
Four Points by Sheraton New York Downtown,"₹ 100,883",3,7.4
La Quinta by Wyndham Time Square South,"₹ 104,443",3,8.3
New York Marriott Downtown,"₹ 210,821",4,8.4
The Gardens Sonesta ES Suites New York,"₹ 148,839",4,8.2
"The Pierre, A Taj Hotel, New York","₹ 212,933",5,8.5
Andaz 5th Avenue-a concept by Hyatt,"₹ 182,763",4,8.2
Sixty LES,"₹ 134,345",4,7.5
The Prince Kitano New York,"₹ 148,839",4,8.5
Hotel Elysee by Library Hotel Collection,"₹ 137,419",4,8.7
"Holiday Inn Express New York City Chelsea, an IHG Hotel","₹ 105,775",3,7.9
The Manhattan Club,"₹ 120,110",4,8.2
DoubleTree by Hilton New York Times Square South,"₹ 119,607",4,8.0
