Hotel Name,Price,Star,Rating
Hotel Indigo Lower East Side New York,"₹1,17,077",4,8.3
Hyatt Centric Times Square New York,"₹1,33,223",4,9.0
Sheraton Tribeca New York Hotel,"₹1,56,289",4,8.1
Hotel 27 by LuxUrban,"₹86,687",3,7.5
M Social Hotel Times Square New York,"₹1,28,289",4,8.6
"The New Yorker, A Wyndham Hotel","₹1,10,299",4,8.0
Paramount Hotel Times Square,"₹99,489",4,7.0
The Belvedere Hotel,"₹1,06,698",4,8.3
Home2 Suites Long Island City/Manhattan View,"₹96,057",3,9.0
SpringHill Suites by Marriott New York Queens,"₹75,579",3,8.0
Wingate by Wyndham Long Island City,"₹74,206",3,8.3
"Holiday Inn New York City - Times Square, an IHG Hotel","₹1,06,019",3,8.1
Park Terrace Hotel,"₹1,47,218",4,9.1
Da Vinci Hotel,"₹82,455",3,7.3
The Westin New York at Times Square,"₹1,53,697",5,8.3
Trump International New York,"₹2,54,073",5,9.0
Hampton Inn Manhattan Chelsea,"₹1,25,626",3,8.0
"Club Quarters Hotel Grand Central, New York","₹1,16,495",4,8.6
"Holiday Inn Express Maspeth, an IHG Hotel","₹80,617",2,8.2
"Holiday Inn Express - Jamaica - JFK AirTrain - NYC, an IHG Hotel","₹59,699",3,7.4
Ace Hotel New York,"₹1,47,711",4,8.4
Graduate by Hilton New York,"₹1,13,545",4,8.7
"Crowne Plaza Times Square Manhattan, an IHG Hotel","₹1,31,675",4,8.1
New York Marriott Marquis,"₹1,55,714",5,8.7
TownePlace Suites by Marriott New York Long Island City,"₹79,877",3,8.3
Pod Times Square,"₹89,426",3,8.3
The Prince Kitano New York,"₹1,19,056",4,9.0
"Club Quarters Hotel Times Square, New York","₹1,13,905",4,8.2
Fairfield Inn & Suites New York Manhattan/Downtown East,"₹1,04,657",3,8.3
"Distrikt Hotel New York City, Tapestry Collection by Hilton","₹1,20,916",4,8.6
Hotel 57 by LuxUrban,"₹1,09,612",4,7.9
"Holiday Inn Express Manhattan Midtown West, an IHG Hotel","₹1,03,910",3,7.7
Doubletree By Hilton New York Times Square West,"₹1,10,920",4,7.2
The Andrew Hotel,"₹48,397",4,7.0
Night Hotel Broadway,"₹71,365",3,6.3
ModernHaus SoHo,"₹2,11,825",5,8.7
Residence Inn by Marriott New York JFK Airport,"₹71,328",3,9.1
Hilton Garden Inn West 35th Street,"₹1,23,991",3,8.8
citizenM New York Bowery,"₹1,26,279",4,9.0
Four Points by Sheraton Midtown - Times Square,"₹1,39,019",4,8.3
Dream Midtown by Hyatt,"₹1,47,068",4,7.8
Hampton Inn by Hilton New York Times Square,"₹1,06,835",3,8.1
citizenM New York Times Square,"₹1,18,273",4,9.0
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel","₹1,08,297",4,7.2
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"₹1,18,664",3,8.2
Four Points by Sheraton New York Downtown,"₹1,16,639",3,7.7
Flushing Garden Hotel,"₹43,842",2,7.5
Motto By Hilton New York City Times Square,"₹1,22,023",3,8.8
Renaissance New York Harlem Hotel,"₹1,11,594",3,8.6
"Holiday Inn Express - Times Square, an IHG Hotel","₹99,545",3,7.4
Fairfield Inn by Marriott New York Manhattan/Financial District,"₹92,863",3,7.9
Hampton Inn Times Square Central,"₹1,26,791",3,8.8
TownePlace Suites by Marriott New York Manhattan/Chelsea,"₹1,46,487",4,8.1
Henn na Hotel New York,"₹1,28,944",4,8.6
NobleDEN Hotel,"₹1,24,911",4,9.4
Cambria Hotel New York - Chelsea,"₹1,32,128",4,8.5
La Quinta by Wyndham Time Square South,"₹1,22,919",3,8.7
Shoreham Hotel,"₹1,00,079",4,7.6
LIC Hotel,"₹67,001",3,8.7
"Candlewood Suites NYC -Times Square, an IHG Hotel","₹93,196",3,7.9
Hilton Garden Inn New York Manhattan Midtown East,"₹1,15,003",3,8.0
Hampton Inn Manhattan - Times Square South,"₹1,06,723",3,7.4
Fairfield Inn & Suites by Marriott New York Queens/Fresh Meadows,"₹58,642",3,8.3
Warwick New York,"₹1,83,206",4,8.6
Hilton Garden Inn New York/Midtown Park Avenue,"₹1,29,956",3,8.3
45 Times Square Hotel,"₹1,23,901",3,8.4
W New York - Times Square,"₹1,53,448",4,8.2
Element Times Square West,"₹1,26,546",4,8.0
Hotel Boutique at Grand Central,"₹1,17,312",4,8.4
"The Algonquin Hotel Times Square, Autograph Collection","₹1,94,638",4,8.6
"Holiday Inn Express - Wall Street, an IHG Hotel","₹91,101",3,7.4
MOXY NYC Times Square,"₹1,42,028",4,8.3
"Vista LIC Hotel, Premier Collection by Best Western","₹68,956",3,8.1
World Center Hotel,"₹1,31,163",4,8.6
"Holiday Inn Wall Street, an IHG Hotel","₹1,01,983",3,7.3
HI New York City Hostel,"₹34,094",3,8.5
Arlo Midtown,"₹1,82,759",4,9.0
DoubleTree by Hilton New York Times Square South,"₹1,25,626",4,8.4
Aliz Hotel Times Square,"₹1,38,770",4,7.9
Omni Berkshire Place,"₹2,68,521",4,9.0
Hilton Garden Inn New York - Times Square Central,"₹1,22,951",3,8.1
"Kimpton Hotel Theta, an IHG Hotel","₹1,41,781",5,8.7
Pod 51,"₹89,426",3,8.0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"₹1,29,622",3,8.7
Courtyard New York Manhattan/Midtown East,"₹1,49,731",4,8.6
The Gotham Hotel,"₹2,60,218",4,8.5
Best Western Premier Empire State Hotel,"₹1,19,285",3,8.7
The Manhattan at Times Square,"₹1,00,128",4,6.4
Embassy Suites By Hilton New York Manhattan Times Square,"₹1,36,728",4,8.0
Hilton Garden Inn Long Island City,"₹1,04,383",3,8.6
Courtyard New York Manhattan/Upper East Side,"₹1,34,612",3,8.0
Homewood Suites Midtown Manhattan Times Square South,"₹1,57,173",3,8.7
Residence Inn New York Downtown Manhattan/Financial District,"₹1,21,882",3,7.9
Park Central,"₹1,23,871",4,7.7
Hilton Garden Inn New York Times Square South,"₹1,58,548",3,8.6
Ravel Hotel Trademark Collection by Wyndham,"₹79,152",4,7.8
Moxy NYC Downtown,"₹1,40,540",4,8.3
Royalton Park Avenue,"₹1,57,643",5,8.7
Hilton Garden Inn New York/Manhattan-Chelsea,"₹1,20,099",3,8.2
Millennium Hotel Broadway Times Square,"₹1,24,721",4,7.4
Hampton Inn Manhattan/Downtown- Financial District,"₹1,10,105",3,8.1
Hyatt Place Long Island City,"₹1,04,592",3,8.7
Hotel 309,"₹54,076",2,5.9
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,"₹1,48,534",3,8.4
"Holiday Inn Lower East Side, an IHG Hotel","₹1,02,349",4,8.3
Hotel Lucerne,"₹1,34,698",4,8.9
Hyatt Centric Wall Street New York,"₹1,68,018",4,8.6
Hampton Inn Manhattan-35th St Empire State Bldg,"₹1,29,709",3,8.3
Lombardy Hotel,"₹1,48,357",4,8.4
The Times Square EDITION New York,"₹1,96,224",5,8.8
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,"₹1,43,219",3,8.7
"Grayson Hotel, The Unbound Collection by Hyatt","₹2,05,111",4,8.8
The Gallivant Times Square,"₹78,696",4,6.4
Loews Regency New York Hotel,"₹2,62,558",5,8.9
Best Western Mill River Manor,"₹55,067",3,7.5
Mint House at 70 Pine,"₹1,59,877",4,9.6
"InterContinental New York Times Square, an IHG Hotel","₹1,39,643",4,8.3
Leon Hotel LES,"₹89,182",3,8.3
Dylan Hotel NYC,"₹1,72,530",4,7.9
"The Time New York, part of JdV by Hyatt","₹1,55,528",4,8.0
SpringHill Suites by Marriott New York Manhattan Chelsea,"₹1,58,152",4,8.3
Hilton Garden Inn Westchester Dobbs Ferry,"₹49,115",3,8.4
Hilton Garden Inn New York Central Park South-Midtown West,"₹1,03,730",3,7.7
Refinery Hotel - New York,"₹2,27,234",5,8.9
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,"₹1,30,295",4,8.3
The Maritime Hotel,"₹1,70,678",4,9.0
The Wall Street Inn,"₹80,293",3,8.6
HGU New York,"₹1,42,474",4,8.0
"The Jewel Hotel, New York","₹1,23,708",4,8.9
"Holiday Inn Express - New York City Chelsea, An Ihg Hotel","₹1,13,112",3,8.1
Delta Hotels by Marriott New York Times Square,"₹1,22,193",4,8.0
The Renwick,"₹1,45,023",4,8.5
Courtyard by Marriott New York Manhattan/Chelsea,"₹1,72,148",4,8.8
Lamartine Chelsea,"₹65,639",1,6.5
TRYP by Wyndham New York City Times Square - Midtown,"₹1,05,031",4,7.6
"Holiday Inn Express - Times Square South, an IHG Hotel","₹1,18,229",3,8.3
Archer Hotel New York,"₹1,59,779",4,9.0
Moxy NYC Chelsea,"₹1,90,953",4,8.5
CIVILIAN Hotel,"₹1,57,251",4,8.9
Radio City Apartments,"₹1,19,558",3,8.5
SpringHill Suites by Marriott New York Manhattan/Times Square South,"₹1,79,635",4,8.1
"voco Times Square South New York, an IHG Hotel","₹1,31,094",4,8.1
West Side YMCA,"₹41,077",3,6.7
Hampton Inn Madison Square Garden,"₹1,06,034",3,8.1
Walker Hotel Greenwich Village,"₹1,64,507",4,8.7
Radio Hotel,"₹71,376",4,8.5
Arlo NoMad,"₹1,46,996",4,8.6
Hilton New York Times Square,"₹1,38,577",4,8.5
Hard Rock Hotel New York,"₹1,92,937",5,9.1
Hotel Indigo Flushing - LaGuardia,"₹72,657",4,8.2
Tuscany by LuxUrban,"₹1,50,588",4,7.8
Pod 39,"₹98,076",3,8.3
Sonder at One Platt,"₹1,28,662",4,8.1
"EVEN Hotel New York - Midtown East, an IHG Hotel","₹1,15,905",4,8.7
Hyatt Regency JFK Airport at Resorts World New York,"₹81,368",4,8.5
"Hotel 50 Bowery, part of JdV by Hyatt","₹1,50,861",4,8.9
Hyatt House New York/Chelsea,"₹1,68,347",3,8.5
"The Draper New York, Tapestry Collection by Hilton","₹1,33,417",3,8.7
"The Ritz-Carlton New York, Central Park","₹4,19,969",5,9.1
Aloft Harlem,"₹92,184",4,8.3
Selina Chelsea,"₹1,25,106",4,7.5
Fitzpatrick Manhattan,"₹1,45,909",4,8.8
TownePlace Suites by Marriott New York Manhattan/Times Square,"₹1,31,344",3,8.5
Doxie Hotel,"₹1,03,554",2,6.9
The Plaza,"₹4,41,078",5,9.0
Arthouse Hotel,"₹1,04,732",4,8.3
Four Seasons Hotel New York Downtown,"₹3,56,485",5,9.3
1 Hotel Central Park,"₹2,44,210",5,9.0
The Ludlow Hotel,"₹2,13,956",4,9.2
Hilton Garden Inn New York/Tribeca,"₹1,29,711",3,8.1
"Staypineapple, An Artful Hotel, Midtown New York","₹1,28,580",4,9.0
Four Points by Sheraton Manhattan SoHo Village,"₹1,51,129",3,8.0
The Mercer,"₹2,82,002",5,9.0
Pestana CR7 Times Square,"₹1,17,827",4,8.6
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"₹1,80,141",4,8.4
Hyatt Grand Central New York,"₹1,26,376",4,7.7
Tempo by Hilton New York Times Square,"₹1,32,643",4,9.0
The Hotel Chelsea,"₹1,87,334",4,9.7
NoMo SoHo,"₹1,65,553",4,8.0
The Gardens Sonesta ES Suites New York,"₹1,53,539",3,8.7
Aloft Long Island City-Manhattan View,"₹85,596",4,8.6
Millennium Hilton New York One UN Plaza,"₹1,63,633",4,8.1
Motto by Hilton New York City Chelsea,"₹1,83,559",3,9.1
The Pearl Hotel,"₹1,68,783",4,9.1
DoubleTree by Hilton New York Downtown,"₹1,07,654",4,7.5
Hilton Club The Quin New York,"₹1,52,103",3,8.8
AC Hotel by Marriott New York Downtown,"₹1,38,192",4,8.7
Hyatt Union Square New York,"₹2,19,270",4,8.7
"EVEN Hotel New York - Times Square South, an IHG Hotel","₹2,24,250",4,9.2
Four Points by Sheraton Manhattan Midtown West,"₹1,88,367",4,8.6
Thompson Central Park New York by Hyatt,"₹2,29,877",5,8.7
Moxy NYC Lower East Side,"₹1,45,429",4,8.7
Executive Hotel Le Soleil New York,"₹1,32,073",4,8.8
Sanctuary Hotel New York,"₹1,39,976",4,8.6
La Quinta by Wyndham New York City Central Park,"₹86,496",3,6.6
"voco The Franklin New York, an IHG Hotel","₹1,19,174",4,8.5
The Washington by LuxUrban,"₹1,11,362",4,7.8
Kixby,"₹1,76,511",4,8.9
Empire Hotel,"₹1,04,048",4,7.3
The Westin New York Grand Central,"₹1,80,878",4,8.5
"Hotel Indigo NYC Financial District, an IHG Hotel","₹1,33,521",3,8.9
The Blakely by LuxUrban,"₹1,13,204",4,7.9
"Dream Downtown, by Hyatt","₹1,40,433",4,8.1
Moderne Hotel,"₹1,26,088",4,8.5
